"","D102300","D103780","D104130","D104300","D104310","D106100","D107320","D107650","D109100","D109350","D109543","D109800","D114480","D114500","D114550","D115645","D125320","D125850","D125851","D125852","D125853","D126200","D127350","D127750","D131200","D131440","D132090","D132300","D133239","D134430","D134500","D134510","D134520","D137215","D137750","D137760","D137800","D140300","D140600","D143100","D143465","D144700","D145500","D146500","D151400","D152700","D153800","D155600","D155601","D157300","D157700","D160750","D161400","D164230","D165199","D165720","D166710","D166760","D168600","D168601","D170900","D175505","D176807","D181000","D181500","D182830","D184700","D187360","D188470","D190300","D190310","D191390","D192000","D193200","D203700","D205700","D208085","D208550","D209850","D210050","D211980","D219700","D222100","D223350","D226150","D227300","D234700","D236000","D241100","D246300","D247640","D254200","D254500","D256370","D256700","D260480","D260970","D264700","D266120","D266600","D267740","D273300","D275000","D300125","D303110","D312910","D600081","D600319","D600496","D600634","D600803","D600807","D601208","D601318","D601367","D601518","D601626","D601665","D601666","D601682","D601744","D601941","D601942","D602080","D602096","D602134","D602404","D602439","D603165","D603266","D603388","D604416","D604827","D605055","D605218","D605480","D605526","D605804","D605805","D605839","D605841","D605844","D606889","D607060","D607154","D607202","D607373","D607498","D607499","D607501","D607508","D607516","D607554","D607682","D607688","D607822","D607850","D608049","D608088","D608232","D608320","D608437","D608583","D608895","D608907"
"D143100",0.12548,0.15088,0.17525,0.45976,0.22385,0.23827,0.15279,0.19315,0.14358,0.088546,0.064227,0.10827,0.28611,0.1865,0.17284,0.1186,0.24925,0.13831,0.073206,0.18158,0.20425,0.28681,0.12396,0.32452,0.084728,0.11457,0.12982,0.11773,0.11621,0.014435,0.047016,0.10019,0.086682,0.1277,0.12372,0.21342,0.3369,0.23899,0.083905,1,0.1324,0.23536,0.21224,0.31328,0.1212,0.26437,0.25615,0.27213,0.13563,0.14124,0.17211,0.15428,0.21242,0.18996,0.14235,0.16704,0.14279,0.09978,0.39371,0.32663,0.043797,0.078188,0.21615,0.23235,0.35668,0.15491,0.17733,0.15843,0.1312,0.27669,0.10575,0.18805,0.041574,0.094225,0.30974,0,0.15466,0.13222,0.27548,0.16019,0.14804,0.26797,0.22101,0.1002,0.022239,0.04402,0.11422,0.11702,0.11776,0.15253,0.12913,0.18042,0.16739,0.08321,0.38925,0.12922,0.20336,0.28144,0.073293,0.21055,0.1926,0.31106,0.23681,0.089344,0.11392,0.18958,0.080458,0.058582,0.13128,0.11739,0.11974,0.2042,0.033051,0.13135,0.1932,0.094234,0.089643,0.19227,0.033143,0.096517,0.16621,0.074539,0.032896,0.29153,0.26341,0.1334,0.15155,0.13988,0.14026,0.032896,0.080736,0.10942,0.06792,0.25375,0.042543,0.10625,0.1573,0.049133,0.047114,0.078704,0.016525,0.049344,0.20211,0.20119,0.080862,0.095514,0.28057,0.088118,0.10265,0.091176,0.12119,0.13221,0.063469,0.11695,0.15116,0.29637,0.086803,0.28579,0.22563,0.19702,0.068658,0.022592,0.055866,0.041684,0.14356
"D143465",0.17071,0.11667,0.055308,0.24191,0.073492,0,0.035388,0,0.16353,0,0,0.12584,0.076387,0.14153,0.09601,0,0.21099,0,0,0.10292,0.13026,0.07328,0.061134,0.18097,0,0,0,0,0,0,0,0.038702,0.028937,0,0.026063,0.042582,0.25088,0.073342,0.096552,0.1324,1,0.1012,0.10166,0.094104,0.027188,0.070957,0.018801,0.099248,0.20571,0.14326,0.064214,0,0.12771,0.15621,0,0.098864,0.050029,0,0.20579,0.16688,0,0,0.045905,0.033441,0.38404,0,0.11666,0.035948,0.13128,0.13215,0,0,0,0,0.13564,0,0.04272,0.11928,0.19346,0.14025,0,0.079358,0.051167,0,0,0,0,0.049803,0,0.028438,0,0.023659,0.039274,0,0.13092,0,0.20129,0.1204,0.034687,0.11398,0,0.1541,0.072289,0.069564,0,0,0,0,0,0,0,0.097552,0,0,0.12873,0,0.029816,0.13142,0,0,0.025059,0,0,0.10421,0.24929,0.15304,0,0.057996,0.018804,0,0.12725,0.052786,0.075136,0.26222,0,0,0,0,0,0,0,0,0.060755,0.079807,0,0,0.057528,0.062109,0.18854,0.06356,0.064942,0.060958,0,0.0978,0,0.17485,0.10764,0.1448,0.077045,0.10706,0,0,0,0,0
"D144700",0.032765,0.084636,0.06654,0.25409,0.070165,0.24453,0.12121,0.12934,0.11718,0.15535,0.087075,0.4327,0.30627,0.46625,0.33646,0.14171,0.02715,0.11898,0.078858,0.14832,0.12553,0.16268,0.081468,0.042208,0.14595,0.13312,0.02887,0.039608,0.27085,0.069931,0.11373,0.09263,0.068706,0.22975,0.024855,0.11758,0.28412,0.1668,0.067409,0.23536,0.1012,1,0.25584,0.17428,0.25116,0.23118,0.10921,0.28574,0.21111,0.083991,0.10978,0.12422,0.073897,0.073018,0.018037,0.15582,0.082343,0.017856,0.050979,0.099894,0.21894,0.21865,0.26772,0.15871,0.15672,0.01876,0.14017,0.12707,0.24112,0.14867,0.018997,0.22035,0.033484,0.088513,0.10658,0.094298,0.10167,0.15883,0.15049,0.081196,0.36645,0.2606,0.19443,0.20309,0,0.10637,0.086445,0.35133,0.089556,0.082108,0.21663,0.18434,0.20853,0.26659,0.432,0.084141,0.033046,0.13817,0.16504,0.25081,0.020225,0.30238,0.11384,0.047694,0.028015,0.04845,0.055896,0.046965,0.12663,0.22221,0.085906,0.26842,0.026681,0.12127,0.16668,0.13913,0.23225,0.11963,0.02675,0,0.22639,0.096827,0.026565,0.15461,0.1689,0.10752,0.053434,0.20925,0.13811,0.026565,0.11543,0.075404,0.015787,0.060504,0.044011,0.045417,0.11315,0.079316,0.076027,0.33542,0.026669,0.079785,0.10363,0.074722,0.11435,0.08619,0.14814,0.041689,0,0.042998,0.089786,0.041577,0.081642,0.022123,0.053352,0.055003,0.067819,0.21891,0.11021,0.33511,0.060305,0.018226,0.067299,0,0.054727
"D145500",0.035471,0.17237,0.066327,0.35069,0.09495,0.19249,0.21276,0.18492,0.19154,0.046644,0.048547,0.16038,0.26976,0.21751,0.24476,0.067057,0.044083,0.28079,0.26571,0.29761,0.34796,0.22014,0.13253,0.057105,0.074003,0.096133,0.09392,0.064383,0.11269,0.025226,0.13406,0.060168,0.061659,0.15736,0.026907,0.13644,0.18573,0.24194,0.10159,0.21224,0.10166,0.25584,1,0.23793,0.14563,0.29959,0.29464,0.15789,0.066956,0.18171,0.13288,0.10012,0.097954,0.079025,0.019526,0.17105,0.11809,0,0.11936,0.14236,0.10749,0.041156,0.19133,0.17987,0.25933,0.061035,0.32539,0.26139,0.1428,0.13701,0.041154,0.11835,0.036241,0.089716,0.1433,0,0.13967,0.12775,0.1742,0.12711,0.1274,0.33013,0.30268,0.10243,0.038853,0.12636,0.12081,0.14358,0.055433,0.13679,0.043933,0.11226,0.24629,0.16222,0.3011,0.073876,0.035777,0.25202,0.23369,0.28728,0.06569,0.22522,0.22887,0.10332,0.076648,0.11181,0.14625,0.12753,0.29749,0.062312,0.13982,0.2696,0.1458,0.21583,0.38477,0.070718,0.078832,0.20966,0.14542,0.031086,0.29503,0.21477,0.14643,0.17666,0.22465,0.074401,0.083687,0.13911,0.10956,0.14643,0.16535,0.16561,0.051439,0.082651,0.08718,0.073716,0.20927,0.042934,0.041154,0.069961,0.028871,0.043118,0.1436,0.12305,0.11079,0.07395,0.14433,0.090395,0.032179,0.093165,0.1499,0.12143,0.22646,0.071905,0.086452,0.098918,0.097454,0.13198,0.066276,0.17742,0.36523,0.059147,0.22508,0,0.088416
"D146500",0.13194,0.24306,0.2306,0.34222,0.21216,0.20511,0.13905,0.24399,0.13185,0.03257,0,0.081897,0.21027,0.14865,0.13648,0.17715,0.23633,0.26469,0.18582,0.22972,0.2617,0.22993,0.061984,0.29488,0.03933,0.067584,0.1329,0.1139,0.14104,0.026752,0.1418,0.042531,0.047585,0.14229,0.18075,0.18838,0.17272,0.24504,0.02535,0.31328,0.094104,0.17428,0.23793,1,0.06886,0.16118,0.26272,0.13956,0.046477,0.13732,0.15851,0.18235,0.30975,0.27598,0.12759,0.071505,0.10808,0.10278,0.25197,0.36234,0.081189,0.10468,0.13647,0.20683,0.2857,0.17647,0.22749,0.1982,0.071789,0.37239,0.16151,0.23023,0.0387,0.12812,0.26978,0,0.14886,0.13045,0.2986,0.14777,0.065919,0.22513,0.2257,0.034485,0,0.13386,0.13858,0.053888,0.088303,0.079118,0.014473,0.14409,0.17817,0.042617,0.25712,0.14927,0.20264,0.23495,0.094766,0.26432,0.19786,0.14936,0.24465,0.14679,0.13099,0.24595,0.10684,0.16606,0.24984,0.043278,0.11674,0.11887,0.15893,0.16696,0.25947,0.024798,0.031708,0.23442,0.15844,0.11794,0.096778,0.22386,0.15972,0.16989,0.26118,0.19756,0.22566,0.092639,0.12735,0.15972,0.092906,0.16606,0.094682,0.17603,0.042043,0.13057,0.24768,0.068296,0.065498,0.03795,0.03066,0.068591,0.23829,0.25254,0.11254,0.17786,0.26836,0.12904,0.078532,0.13327,0.18917,0.16046,0.14072,0.15399,0.22195,0.22107,0.038926,0.26266,0.18974,0.10716,0.1233,0.041877,0.1289,0.078808,0.12554
"D151400",0,0.089235,0.062043,0.18949,0,0.27844,0.20241,0.074043,0.29869,0.054526,0.39679,0.083547,0.16632,0.1899,0.13161,0.078737,0,0.074759,0.099969,0.18357,0.093425,0.2368,0.016346,0,0.065056,0.22119,0,0,0.098902,0.059418,0.14499,0.047217,0.069233,0.27512,0.046487,0.19025,0.16824,0.1944,0.11058,0.1212,0.027188,0.25116,0.14563,0.06886,1,0.28268,0.13716,0.17875,0.085422,0.031189,0.071926,0.13069,0.062379,0,0,0.079377,0.088957,0.022272,0.043023,0.024459,0.37617,0.064051,0.11186,0.24422,0.18385,0,0.10157,0.36991,0.12122,0.026251,0,0.31083,0,0.32574,0.078414,0.18459,0.049048,0.18073,0.10009,0.027989,0.22062,0.18447,0.22362,0.3552,0.022676,0.11267,0.21355,0.34244,0.015929,0.18429,0.21533,0.19905,0.50371,0.046428,0.12687,0.19058,0,0.16658,0.15248,0.28619,0,0.092683,0.28428,0,0.035287,0.014288,0.20964,0.091267,0.10769,0.073206,0.08591,0.21732,0.10396,0.23407,0.1037,0.056159,0.36656,0.064132,0.10415,0,0.30865,0.18506,0.10365,0.14012,0.15947,0,0,0.25806,0.13782,0.10365,0.22287,0.12444,0,0,0.18063,0.18417,0.086673,0.099177,0.095075,0.062978,0,0.099765,0.018142,0,0.14417,0.090191,0.07625,0,0,0,0.057601,0,0,0,0,0.036757,0.084915,0.11478,0.047624,0.4131,0.074975,0.19156,0,0,0
"D152700",0.12546,0.11864,0.16233,0.2523,0.11772,0.27702,0.4024,0.13524,0.312,0.037782,0.037648,0.14514,0.24312,0.14863,0.20478,0.13442,0.068475,0.11515,0.066303,0.20591,0.19627,0.27566,0.18816,0.088727,0.043044,0.14486,0.17512,0.14245,0.083771,0.09793,0.14327,0.17187,0.15377,0.14974,0.083386,0.1775,0.29772,0.32798,0.21842,0.26437,0.070957,0.23118,0.29959,0.16118,0.28268,1,0.17734,0.24576,0.10213,0.16112,0.19517,0.26302,0.11403,0.10762,0.045567,0.25474,0.18414,0.06002,0.13553,0.13407,0.10697,0.021256,0.21022,0.27647,0.21906,0.062953,0.16573,0.37192,0.14045,0.16001,0.047765,0.27125,0.028072,0.20077,0.17214,0.16803,0.16415,0.14385,0.18281,0.13173,0.088941,0.28543,0.31391,0.17842,0.045131,0.12116,0.38524,0.21089,0.1585,0.35585,0.066341,0.18233,0.26186,0.12796,0.26583,0.15008,0.085313,0.27858,0.20026,0.39881,0.11564,0.20565,0.29117,0.10735,0.046974,0.093845,0.101,0.12479,0.13414,0.048252,0.059971,0.341,0.070473,0.17291,0.21428,0.072746,0.11889,0.13909,0.070583,0.024364,0.51267,0.12375,0.070282,0.22919,0.2328,0.11764,0.064756,0.16257,0.21134,0.070282,0.17697,0.24363,0.091732,0.15481,0.34806,0.25187,0.11392,0.083299,0.07987,0.094384,0.02234,0.085308,0.14798,0.12753,0.14461,0.090065,0.17248,0.10732,0.037747,0.097464,0.15138,0.1061,0.15647,0.15817,0.066896,0.13795,0.19851,0.15618,0.12544,0.266,0.10419,0.33698,0.15345,0.029183,0.068416
"D153800",0.073826,0.20998,0.084152,0.261,0.062016,0.28344,0.19556,0.18245,0.16282,0.054618,0,0.070312,0.20936,0.16182,0.10578,0.17658,0.061692,0.24381,0.11177,0.21282,0.23394,0.22931,0.062498,0.05993,0.1804,0.081452,0.065605,0.04498,0.10047,0.078852,0.16352,0.021015,0.10365,0.11208,0.29024,0.30843,0.10413,0.22067,0.1003,0.25615,0.018801,0.10921,0.29464,0.26272,0.13716,0.17734,1,0.21182,0.022489,0.20525,0.13148,0.11758,0.2441,0.082865,0.17026,0.10729,0.094737,0.040715,0.19092,0.11333,0.065296,0.028713,0.11034,0.2776,0.19264,0.15635,0.22309,0.28563,0.088669,0.14802,0.043128,0.19816,0.11556,0.06245,0.18069,0,0.11549,0.14665,0.2118,0.087636,0.095153,0.22623,0.27129,0.086593,0,0.15232,0.13486,0.093982,0.089216,0.17474,0.057308,0.13957,0.27659,0.12927,0.24281,0.17146,0.094267,0.27165,0.093848,0.2981,0.25116,0.17953,0.3167,0.14477,0.21251,0.19712,0.1265,0.053256,0.231,0.021359,0.14209,0.16423,0.060614,0.20438,0.23715,0.048738,0.06298,0.11851,0.060783,0.18482,0.12821,0.13664,0.06033,0.20011,0.15416,0.038761,0.029266,0.092579,0.14791,0.06033,0.1123,0.10201,0.036136,0.06888,0,0.051652,0.16276,0.022503,0.02157,0,0.030269,0.0226,0.15686,0.042148,0.096004,0.077987,0.19739,0.1268,0.025121,0.13116,0.18665,0.17662,0.11597,0.075461,0.030213,0.12879,0.077025,0.2023,0.083389,0.153,0.19129,0,0.10201,0.21446,0.030896
"D155600",0.05159,0.098979,0.20441,0.1887,0.01758,0.27648,0.13859,0.098893,0.1156,0.16093,0.069891,0.17684,0.3429,0.31336,0.22862,0.23893,0,0.1199,0.079232,0.12417,0.21173,0.18734,0.10417,0.021159,0.053907,0.17305,0,0,0.24677,0.070117,0.13305,0.074289,0.098353,0.27793,0.12522,0.19618,0.28069,0.22316,0.068903,0.27213,0.099248,0.28574,0.15789,0.13956,0.17875,0.24576,0.21182,1,0.40191,0.10877,0.16916,0.086709,0.086499,0.059471,0.092657,0.080506,0.15998,0.071777,0.07631,0.020397,0.071494,0.19204,0.1968,0.26712,0.19947,0.096832,0.13326,0.19573,0.2305,0.12895,0.057202,0.28702,0,0.17131,0.10753,0.046843,0.066233,0.21498,0.13498,0.037007,0.32954,0.25834,0.20315,0.13703,0.11692,0.10663,0.10915,0.22524,0.038424,0.15064,0.16795,0.13604,0.17734,0.073616,0.40629,0.14104,0.016578,0.18209,0.13247,0.28424,0.1322,0.21643,0.24824,0.066058,0.13286,0.070983,0.079268,0,0.1274,0.19112,0.11917,0.23738,0,0.12624,0.15331,0.044663,0.13906,0.12904,0,0.12701,0.17029,0.073485,0,0.2056,0.18899,0.074887,0,0.15292,0.27784,0,0.13057,0.089091,0,0.015163,0.036721,0.022835,0.068154,0.079566,0.076293,0.14403,0,0.079903,0.01455,0.099225,0.1325,0.085565,0.15271,0.063464,0.15851,0.061,0.10687,0.10113,0.041039,0,0,0.06334,0.07226,0.24077,0.087014,0.24762,0.047293,0.036576,0.022619,0.10241,0
"D155601",0.04105,0,0.16267,0.14064,0,0.085285,0,0,0,0.11554,0.18348,0.22396,0.24059,0.22704,0.12476,0.13248,0,0,0,0,0.051675,0.054232,0.071476,0,0.048071,0.14856,0,0,0.065002,0,0,0,0.034202,0.071357,0,0.02867,0.34624,0.098774,0.11288,0.13563,0.20571,0.21111,0.066956,0.046477,0.085422,0.10213,0.022489,0.40191,1,0,0.094227,0,0,0,0,0.077586,0.058473,0,0.041794,0,0.074962,0.066866,0.11374,0.0607,0.099676,0,0.083542,0.042014,0.20591,0.0802,0,0.091433,0,0.17753,0,0,0.051512,0.10843,0.054449,0,0.32351,0.11533,0.040109,0.080298,0,0,0.054084,0.12084,0,0.1016,0.16821,0.087142,0.096814,0.094701,0.1956,0.047029,0,0.09101,0,0.10772,0,0.19888,0.047145,0,0,0,0,0,0,0.29,0,0.097569,0,0,0.10359,0.062566,0.10713,0.098997,0,0,0,0,0,0.067761,0.083847,0.13702,0,0.1396,0.14256,0,0,0.12737,0,0,0,0,0,0,0,0.17074,0,0,0,0.093274,0,0,0.033068,0,0,0,0,0,0,0,0,0.044779,0.084491,0.20401,0.030498,0.13604,0,0,0,0.086584,0
"D157300",0.12337,0.12774,0.11303,0.21045,0.13253,0.20682,0.19601,0.13352,0.14826,0,0,0,0.16723,0.083357,0.083251,0.055987,0.12333,0.022203,0.029628,0.11198,0.094309,0.18917,0,0.12799,0,0.063554,0.17497,0.11994,0.016087,0,0.02857,0.027963,0,0.013277,0.11285,0.13872,0.1129,0.14463,0,0.14124,0.14326,0.083991,0.18171,0.13732,0.031189,0.16112,0.20525,0.10877,0,1,0.10875,0.077779,0.093259,0.19409,0.1924,0.095923,0.017721,0.054171,0.15327,0.1338,0.042663,0,0.19695,0.17716,0.17914,0.14199,0.097187,0.22435,0.023494,0.23434,0.086269,0.06701,0,0.12485,0.18688,0,0.030193,0.10765,0.14427,0.15284,0.041535,0.13803,0.15915,0.092002,0.06336,0.026576,0.081476,0.070838,0,0.14385,0.084523,0.085382,0.11132,0,0.17448,0.054743,0.12739,0.1288,0.049833,0.18238,0.15317,0.13382,0.18651,0.75392,0.1705,0.1563,0.027955,0,0.021044,0,0.05317,0.11342,0,0.051765,0.18368,0,0.065811,0.11513,0,0.037526,0.054391,0.035999,0,0.21674,0.20347,0.077517,0.11675,0.060865,0.053984,0,0.14948,0,0.12479,0.16253,0,0.13749,0.13634,0,0,0,0.040274,0,0.19743,0.11234,0.049198,0.052322,0.14711,0.76944,0.15311,0.77407,0.73308,0.67654,0.21607,0.20305,0.12061,0.15711,0.051795,0.13216,0.092568,0.10155,0.10744,0,0.23751,0,0.12335
"D157700",0.074905,0.10246,0.19027,0.15974,0.015869,0.21134,0.22555,0.22172,0.13834,0.025712,0,0.057369,0.15221,0.058336,0.10204,0.23928,0.03689,0.0267,0,0.078545,0.17505,0.10037,0.16606,0.028707,0.030914,0.05296,0.052333,0.16448,0.078239,0.084518,0.0685,0.067217,0.16803,0.11977,0.1133,0.10191,0.13736,0.078267,0.12454,0.17211,0.064214,0.10978,0.13288,0.15851,0.071926,0.19517,0.13148,0.16916,0.094227,0.10875,1,0.14258,0.089837,0.049562,0.13512,0.19675,0.22862,0.25507,0.10112,0.081218,0.10252,0.057498,0.06938,0.20704,0.10815,0.086409,0.11872,0.22396,0.061705,0.26369,0.034403,0.13782,0,0.1257,0.16061,0.042285,0.084753,0.1848,0.1362,0.083925,0.025176,0.21429,0.1626,0.027444,0.032563,0.066595,0.2248,0.10715,0.085137,0.049893,0.024692,0.1327,0.10017,0.010976,0.20014,0.13434,0.029904,0.16377,0.044686,0.19932,0.094107,0.075351,0.14705,0.086425,0.11724,0.11834,0.03346,0.043226,0.025273,0.017039,0.061296,0.13062,0,0.015557,0.2075,0,0.024881,0.12818,0,0.069239,0.087928,0,0,0.18918,0.063198,0.13083,0.023344,0.13823,0.14158,0,0.029227,0.13854,0.014293,0.02739,0.10626,0.082637,0.020429,0.089806,0.086106,0.029735,0.024144,0.090187,0.094024,0.10495,0.088483,0.093202,0.10063,0.088376,0,0.091489,0.08082,0.11428,0.15105,0.040078,0.0241,0.074344,0.14602,0.079846,0.11185,0.13564,0.18368,0.082743,0.14598,0.030323,0.024644
"D160750",0.070375,0.15396,0.10588,0.092316,0.037944,0.14551,0.17609,0.17835,0.12382,0,0,0.054365,0.13726,0.051711,0.13941,0,0.058702,0.097226,0.1302,0.081372,0.16274,0.13638,0.057108,0.045677,0,0.061828,0.12513,0.12876,0.11882,0,0.12515,0,0.05959,0.13585,0.13453,0.19982,0.14456,0.22978,0.095183,0.15428,0,0.12422,0.10012,0.18235,0.13069,0.26302,0.11758,0.086709,0,0.077779,0.14258,1,0.30578,0.079004,0.11778,0.13473,0.17931,0.11607,0.11158,0.13203,0,0,0.14127,0.13717,0.10654,0.081241,0.1054,0.20237,0.14192,0.16261,0.08226,0.15467,0,0.11909,0.10086,0,0.093117,0.12412,0.18398,0.079494,0.090838,0.11187,0.1407,0.066248,0,0.1166,0.40495,0.051884,0.083022,0.060117,0.027433,0.35267,0.16061,0,0.15348,0.13811,0.10915,0.21957,0.10864,0.13805,0.087908,0.082308,0.2759,0.068834,0.060649,0.049818,0.16274,0.051045,0.092142,0,0.11169,0.062093,0,0.07595,0.13539,0,0.060911,0.027382,0,0,0.18754,0.16108,0,0.12648,0.11077,0.15248,0.055819,0.11764,0.097811,0,0.14138,0.13947,0.034176,0.06549,0.17802,0.19758,0.19816,0.085859,0.082363,0,0.057732,0.08623,0.10075,0.08039,0.17837,0.14867,0.13032,0.060173,0,0.063005,0.1636,0.060042,0.044184,0.095827,0.057625,0.12029,0.073286,0.12229,0.10609,0.14382,0.030879,0.11882,0.048562,0,0.058928
"D161400",0.2564,0.24389,0.11717,0.24192,0.08622,0.1293,0.10067,0.30008,0.099956,0.022271,0,0.018641,0.098646,0.048738,0.10249,0.080282,0.17204,0.16132,0.091958,0.17667,0.19948,0.28435,0.063168,0.16893,0,0.043375,0.089852,0.092393,0.11868,0,0.18588,0,0.04274,0.097634,0.2391,0.22302,0.12977,0.1667,0.068269,0.21242,0.12771,0.073897,0.097954,0.30975,0.062379,0.11403,0.2441,0.086499,0,0.093259,0.089837,0.30578,1,0.17381,0.17135,0.09669,0.13146,0.083426,0.28003,0.2693,0,0,0.067087,0.19477,0.26557,0.20951,0.20234,0.18506,0.072716,0.21415,0.089253,0.13824,0,0.042752,0.21127,0,0.11066,0.11014,0.27413,0.10524,0.10884,0.08844,0.22776,0.046475,0,0.17678,0.13435,0.074383,0.019857,0.10568,0.019572,0.22789,0.16068,0,0.15937,0.20939,0.22218,0.20121,0.076743,0.17756,0.20304,0.080707,0.25273,0.099978,0.13261,0.12823,0.11541,0.036576,0.15283,0,0.07889,0.10309,0,0.053281,0.16083,0,0.042733,0.13937,0,0.20244,0.056245,0.11371,0,0.16875,0.18628,0.16018,0.040078,0.083487,0.12774,0,0.10891,0.059429,0.15525,0.21867,0,0.070743,0.21818,0,0,0,0.44769,0,0.11423,0.087152,0.076191,0.11821,0.21568,0.088326,0.10667,0.091419,0.16349,0.13152,0.031725,0.13987,0.041375,0.18484,0.052564,0.22462,0.095989,0.07723,0,0,0.034868,0.10448,0.04231
"D164230",0.23048,0.16576,0.17283,0.18044,0.28517,0.019183,0.1311,0.11252,0.074115,0,0,0.027656,0.090884,0.017989,0.084341,0.028536,0.31752,0,0,0.11736,0.074426,0.16214,0,0.27262,0,0,0.26732,0.18323,0.0246,0.05383,0.043675,0.042772,0.031695,0.020298,0.11488,0.093979,0.19421,0.15356,0,0.18996,0.15621,0.073018,0.079025,0.27598,0,0.10762,0.082865,0.059471,0,0.19409,0.049562,0.079004,0.17381,1,0.083332,0.071828,0.027094,0,0.21676,0.25285,0,0.029112,0.099635,0.11268,0.30068,0.17364,0.075623,0.077935,0,0.26904,0.22238,0.061515,0,0.063538,0.18007,0,0.068894,0.03296,0.21981,0.1837,0,0.10452,0.018617,0,0.04214,0.041505,0.024906,0,0.029496,0.031363,0,0.077477,0.042588,0.028003,0.14764,0.020896,0.25494,0.13274,0.037883,0.065381,0.18731,0.12078,0.043649,0.25945,0.097085,0.21873,0,0,0,0.043473,0,0,0,0,0.19003,0,0,0.2077,0,0,0,0,0,0.13646,0.27782,0.19887,0.36341,0.092884,0.02062,0,0,0,0.19101,0.28615,0,0.21005,0.20861,0.045801,0.043903,0,0.06161,0.046,0.23525,0.34614,0.037609,0.079808,0.25195,0.22857,0.339,0.23599,0.24252,0.22667,0.18865,0.31046,0.37076,0.19114,0,0.26859,0.16975,0.056535,0.026928,0,0.15551,0,0.25227
"D165199",0.11154,0.096463,0.11343,0.096634,0.040028,0.096195,0.055053,0.22657,0.043426,0,0,0,0.053891,0,0.020839,0.18904,0.061919,0.070381,0,0.028613,0,0.20688,0.03285,0.096365,0,0,0.13199,0.090491,0,0,0,0,0,0,0.28891,0.237,0.037846,0.087051,0,0.14235,0,0.018037,0.019526,0.12759,0,0.045567,0.17026,0.092657,0,0.1924,0.13512,0.11778,0.17135,0.083332,1,0.070993,0,0.21259,0.13617,0.044849,0,0,0.024618,0.17991,0.13642,0.54498,0.01828,0.15669,0,0.096878,0.086767,0.10365,0,0.23504,0.14051,0,0,0.13028,0.1329,0.051242,0,0.051762,0.11245,0,0,0,0.074249,0,0,0,0.028751,0.12795,0.097095,0,0.15596,0.12923,0.21529,0.048671,0,0.08219,0.35066,0.084221,0.17541,0.2567,0.44584,0.36988,0,0,0.066707,0,0,0.04299,0,0,0.045988,0,0,0.028885,0,0.29479,0,0,0,0.24095,0.038336,0.077979,0.058884,0.061205,0.12519,0,0.036808,0,0.036053,0.069078,0,0.10391,0.051532,0,0,0,0.060902,0,0.066265,0.084794,0.037183,0.07888,0.20358,0.22512,0,0.23287,0.23999,0.25652,0.046611,0.10108,0.06079,0.082001,0,0.18055,0.15702,0.037252,0,0,0.051229,0.16057,0.062164
"D165720",0.12908,0.055275,0.048152,0.13653,0.10351,0.065693,0.18162,0.096104,0.1423,0,0,0.047331,0.16084,0.046083,0.11073,0,0.053371,0,0,0.076204,0.19566,0.082627,0.23066,0.083046,0,0,0.11377,0.19549,0.020958,0,0,0.072931,0.26837,0.017292,0.097879,0.10009,0.19789,0.074731,0.64093,0.16704,0.098864,0.15582,0.17105,0.071505,0.079377,0.25474,0.10729,0.080506,0.077586,0.095923,0.19675,0.13473,0.09669,0.071828,0.070993,1,0.23513,0.10594,0.11816,0.097011,0,0,0.087893,0.092816,0.1374,0.073862,0.085622,0.22103,0.061521,0.23155,0.074789,0.14306,0,0.054129,0.13611,0,0.10243,0.085389,0.088613,0.044168,0,0.091336,0.19557,0,0,0,0.12896,0.072471,0.075937,0,0,0.1322,0.092027,0,0.20494,0.090469,0.097536,0.11207,0.032658,0.17084,0.079923,0.13118,0.15021,0.062582,0.055141,0.045293,0.036363,0.15066,0,0,0,0.14777,0,0,0.10214,0,0,0.02489,0,0,0.14253,0,0,0.36263,0.17169,0.16907,0.050739,0.14205,0.035479,0,0.031723,0.3036,0.031066,0.11905,0,0.089569,0.044404,0,0,0,0.052478,0,0.11422,0.22976,0,0.067991,0.046219,0.083898,0,0.087296,0.058524,0.054589,0.040163,0.087124,0.052381,0.10702,0.56953,0.041008,0.14518,0.14591,0.024404,0,0.044142,0,0.053565
