"","D102300","D103780","D104130","D104300","D104310","D107650","D109100","D109350","D109800","D114480","D114500","D115645","D125320","D125852","D125853","D126200","D127350","D127750","D131200","D131440","D132090","D132300","D133239","D137750","D137760","D140600","D143465","D144700","D145500","D153800","D155600","D155601","D157300","D161400","D164230","D165199","D165720","D166760","D168600","D168601","D176807","D181000","D181500","D182830","D188470","D190310","D205700","D208550","D209850","D210050","D211980","D219700","D222100","D226150","D236000","D254200","D254500","D260480","D266600","D267740","D300125","D600319","D600803","D600807","D601208","D601318","D601367","D601518","D601665","D601666","D601682","D601941","D601942","D602080","D602096","D602404","D603266","D604827","D605055","D605526","D605839","D605841","D605844","D606889","D607060","D607154","D607373","D607498","D607499","D607501","D607508","D607516","D607682","D607688","D607822","D607850","D608049","D608895","D608907"
"D114500",0.01628,0.083632,0.065215,0.1538,0.017282,0.057949,0.12904,0.26966,0.41839,0.35152,1,0.10242,0,0.15858,0.10287,0.16084,0.080329,0.010402,0.19174,0.10311,0,0,0.41675,0.012252,0.1159,0.044755,0.14153,0.46625,0.21751,0.16182,0.31336,0.22704,0.083357,0.048738,0.017989,0,0.046083,0,0.050073,0.060407,0.29677,0.14878,0.1773,0,0.29728,0.056242,0,0.17137,0.1183,0.044614,0.33222,0.35404,0.19947,0.15853,0.17104,0.18181,0.16019,0.092053,0.33983,0,0,0.023116,0.13541,0.19902,0.026322,0.1923,0.094201,0.15752,0.14335,0.02638,0.028125,0.095703,0.026223,0.10348,0.16857,0,0.026223,0,0.014906,0.067244,0.33884,0,0.058906,0.028642,0.03698,0.096744,0.099079,0,0,0,0.044684,0,0,0,0.074959,0.050174,0.17089,0.035087,0
"D115645",0,0.067242,0.30877,0.1664,0,0.17544,0.088923,0.13354,0.060414,0.15833,0.10242,1,0,0.097869,0.067806,0.13281,0.023685,0.016525,0.05331,0.13827,0,0.03126,0.12267,0.20089,0.14723,0,0,0.14171,0.067057,0.17658,0.23893,0.13248,0.055987,0.080282,0.028536,0.18904,0,0.094995,0.053943,0.030709,0.052178,0.26375,0.079375,0.15608,0.050938,0.059492,0.073042,0.14338,0.10614,0.088903,0.070159,0.193,0.11868,0.056154,0.16536,0.087344,0.13022,0.19735,0.19151,0.17895,0.074636,0,0.079347,0.1657,0,0.026901,0.19731,0.034696,0.14276,0,0.20466,0,0,0.12551,0,0,0,0,0,0,0.1079,0,0.031142,0.068124,0,0.025462,0.15895,0.06524,0,0.067272,0.069796,0.088518,0,0,0.065048,0,0.14102,0.11047,0
"D125320",0.16858,0.14526,0.1496,0.32568,0.45253,0.14765,0.080773,0,0,0.054064,0,0,1,0.06424,0.053803,0.096161,0,0.54347,0,0,0.19876,0.13624,0,0.064006,0.069996,0,0.21099,0.02715,0.044083,0.061692,0,0,0.12333,0.17204,0.31752,0.061919,0.053371,0,0.38537,0.44215,0.05558,0.05325,0.3971,0.21675,0,0.13163,0,0,0.14645,0.23943,0,0.058245,0.013834,0,0,0.038423,0.031632,0.015527,0.036325,0.13927,0.16481,0,0,0,0,0,0.16327,0,0.17605,0,0,0,0,0.087067,0.37567,0.35401,0,0.14156,0.51994,0.34607,0,0.045781,0,0.37463,0.31268,0,0.16728,0.14516,0.1171,0.14999,0.15406,0.14399,0.23023,0.3457,0.42509,0,0.17979,0,0.43139
"D125852",0.077777,0.26849,0.079579,0.25728,0.027423,0.15376,0.27093,0.022216,0.037365,0.28506,0.15858,0.097869,0.06424,1,0.54053,0.22179,0.11322,0.050888,0.079839,0.11052,0,0.062057,0.10561,0.058372,0.17828,0.11688,0.10292,0.14832,0.29761,0.21282,0.12417,0,0.11198,0.17667,0.11736,0.028613,0.076204,0.084152,0.068893,0.077273,0.13472,0.26985,0.21971,0.029595,0.12167,0,0.073046,0.1559,0.20009,0.10629,0.089063,0.16135,0.40169,0,0.22273,0.15682,0.23321,0.13097,0.30217,0.031995,0.1002,0.52084,0.079324,0.19351,0.46057,0.65016,0.2615,0,0.17972,0.46059,0.03915,0.4824,0.4605,0.11823,0.26843,0,0.4605,0.13326,0.072691,0.070585,0.023659,0,0.062341,0.067923,0,0.10197,0.15298,0.088513,0.15346,0.090925,0.14069,0.10987,0.071098,0,0.043993,0.092,0.16926,0,0
"D125853",0.10839,0.24478,0.10074,0.27301,0.023089,0.20085,0.22636,0.0187,0.063543,0.27343,0.10287,0.067806,0.053803,0.54053,1,0.14074,0.18121,0.042616,0.044782,0.037079,0,0.078367,0.11794,0.048974,0.094201,0.14908,0.13026,0.12553,0.34796,0.23394,0.21173,0.051675,0.094309,0.19948,0.074426,0,0.19566,0.11757,0.090515,0.064853,0.14224,0.19787,0.16017,0,0.21175,0,0.061504,0.13078,0.20661,0.10786,0.12964,0.21443,0.39502,0,0.15575,0.20893,0.2207,0.097665,0.27329,0,0.084309,0.34707,0.21126,0.20245,0.32461,0.38455,0.30167,0,0.22039,0.32435,0,0.38235,0.32502,0.20682,0.1802,0,0.32502,0.1104,0.060885,0.16024,0,0,0.078637,0.057186,0.101,0.15354,0.1359,0.074476,0.12998,0.076506,0.13847,0.11139,0.059788,0,0.060473,0.13952,0.14876,0,0
"D126200",0.17594,0.19935,0.11021,0.30246,0.094018,0.19149,0.27312,0.076167,0.082336,0.17464,0.16084,0.13281,0.096161,0.22179,0.14074,1,0.046878,0.13107,0.044985,0.13142,0.075608,0.051844,0.10636,0.20646,0.28,0.058077,0.07328,0.16268,0.22014,0.22931,0.18734,0.054232,0.18917,0.28435,0.16214,0.20688,0.082627,0.031278,0.22498,0.20289,0.14324,0.34486,0.26112,0.21134,0.11417,0.11615,0.083008,0.12399,0.20883,0.091133,0.10133,0.22963,0.37783,0.14275,0.22142,0.26609,0.26897,0.18976,0.39518,0.16776,0.11188,0.10294,0.091198,0.27479,0.11723,0.18507,0.19829,0.038613,0.1118,0.11747,0.11019,0.14632,0.11681,0.23077,0.2247,0.069065,0.11681,0.10215,0.12105,0.098436,0.030188,0.17153,0.052116,0.11647,0.081181,0.085285,0.20309,0.098482,0.061259,0.10168,0.13083,0.14834,0.098134,0.069746,0.20137,0.09174,0.20859,0.088821,0.071466
"D127350",0.030918,0.048769,0.023183,0.072506,0,0.067584,0.089238,0,0.10348,0.10757,0.080329,0.023685,0,0.11322,0.18121,0.046878,1,0,0.028279,0,0,0.10162,0.053491,0.043114,0.035271,0.30009,0.061134,0.081468,0.13253,0.062498,0.10417,0.071476,0,0.063168,0,0.03285,0.23066,0.124,0.07828,0.016285,0.094759,0.065556,0.071602,0.033977,0.082755,0,0,0.077234,0.12235,0,0,0.097676,0.19787,0,0.06387,0.077022,0.045986,0.046431,0.16104,0.036732,0,0.17813,0.056284,0.082258,0.044789,0.02892,0.10555,0.035589,0.063369,0.044888,0.044946,0.039452,0.044621,0.16685,0.092983,0,0.044621,0,0,0,0.075831,0,0,0,0.10488,0,0.021229,0,0,0,0,0.073403,0,0,0.029815,0.23782,0.018835,0,0
"D127750",0.17948,0.11405,0.1166,0.35783,0.54526,0.14399,0.077438,0,0,0.063049,0.010402,0.016525,0.54347,0.050888,0.042616,0.13107,0,1,0,0,0.15454,0.10593,0,0.083038,0.13737,0,0.18097,0.042208,0.057105,0.05993,0.021159,0,0.12799,0.16893,0.27262,0.096365,0.083046,0,0.55366,0.55525,0.043199,0.062242,0.44216,0.25425,0,0.12802,0,0,0.15303,0.15369,0,0.08309,0.032295,0,0,0.10602,0.036922,0.024194,0.037798,0.13531,0.1497,0,0,0.025006,0,0,0.15714,0,0.11959,0,0.03319,0,0,0.14048,0.39894,0.36289,0,0.11042,0.57301,0.27959,0,0.035617,0,0.48434,0.33338,0,0.13036,0.13172,0.092788,0.13606,0.13995,0.15056,0.17948,0.35821,0.51578,0.022592,0.1549,0,0.34792
"D131200",0,0,0.0528,0.029869,0,0.020997,0.040984,0.031096,0.13532,0.15728,0.19174,0.05331,0,0.079839,0.044782,0.044985,0.028279,0,1,0.029981,0,0,0.054942,0,0.04626,0,0,0.14595,0.074003,0.1804,0.053907,0.048071,0,0,0,0,0,0,0.018119,0.042443,0.21425,0.068534,0,0,0.10406,0,0,0.061139,0.038895,0.024172,0.1337,0.136,0.069549,0,0.025684,0.096341,0.040145,0.01954,0.091389,0,0,0,0.036446,0.060664,0,0.074244,0.021734,0.23297,0.0273,0,0,0,0,0.037918,0,0,0,0,0,0,0.13915,0,0.042951,0.031372,0,0.035123,0.025308,0,0,0,0,0,0,0,0.019386,0,0.022456,0,0
"D131440",0,0.10944,0.093461,0.20515,0,0.034653,0.084983,0.050572,0.047164,0.14804,0.10311,0.13827,0,0.11052,0.037079,0.13142,0,0,0.029981,1,0,0,0.080686,0,0.10992,0,0,0.13312,0.096133,0.081452,0.17305,0.14856,0.063554,0.043375,0,0,0,0,0,0,0.11648,0.15859,0.087481,0,0.11277,0,0.082378,0.1282,0.049416,0,0.10297,0.11227,0.086757,0,0.24472,0.078958,0.17572,0.12118,0.13987,0,0,0,0.059762,0.27588,0,0.15506,0.10798,0.039021,0.070456,0,0,0.0874,0,0.075003,0.15117,0,0,0,0,0.07991,0.12106,0,0,0,0,0.057763,0.063579,0,0,0,0.053292,0,0,0,0.016338,0,0.079912,0,0
"D132090",0.11895,0.10277,0.33151,0.18279,0.19271,0.26513,0.023042,0,0,0.11523,0,0,0.19876,0,0,0.075608,0,0.15454,0,0,1,0.57788,0,0.090948,0.074403,0,0,0.02887,0.09392,0.065605,0,0,0.17497,0.089852,0.26732,0.13199,0.11377,0,0.12301,0.14382,0.11841,0.056576,0.14152,0.27518,0,0.20859,0,0,0.25999,0.31687,0,0.082738,0.029457,0,0,0.081904,0.033667,0.033063,0.02574,0.60544,0.23288,0,0,0,0,0,0.14751,0,0.13896,0,0,0,0,0.06052,0.1844,0.28304,0,0.36875,0.40673,0.24787,0,0.097482,0,0.21261,0.27199,0,0.33219,0.31658,0,0.21154,0.33134,0.31099,0.63123,0.2924,0.24119,0,0.29473,0,0.29904
"D132300",0.081556,0.070457,0.23885,0.1139,0.13211,0.33941,0.063227,0,0,0.13816,0,0.03126,0.13624,0.062057,0.078367,0.051844,0.10162,0.10593,0,0,0.57788,1,0,0.062355,0.051011,0.11227,0,0.039608,0.064383,0.04498,0,0,0.11994,0.092393,0.18323,0.090491,0.19549,0.17928,0.084316,0.09858,0.081175,0.077668,0.097004,0.18862,0,0.14303,0,0,0.18871,0.2011,0,0.070941,0.080942,0,0,0.11226,0.023095,0.045543,0.052998,0.38894,0.15963,0.11952,0,0.023581,0,0,0.10111,0,0.095259,0,0,0,0,0.13431,0.12641,0.19403,0,0.19438,0.2544,0.16992,0,0.06687,0,0.14574,0.18644,0,0.21075,0.18317,0,0.145,0.19309,0.18084,0.49231,0.20044,0.15104,0.085505,0.18699,0,0.205
"D133239",0,0.096517,0.08841,0.12642,0,0.10845,0.095166,0.43334,0.18523,0.14885,0.41675,0.12267,0,0.10561,0.11794,0.10636,0.053491,0,0.054942,0.080686,0,0,1,0.050269,0.12771,0.029535,0,0.27085,0.11269,0.10047,0.24677,0.065002,0.016087,0.11868,0.0246,0,0.020958,0,0.035936,0.028441,0.17363,0.15096,0.066971,0,0.27589,0.076919,0,0.03827,0.11742,0.049514,0.21515,0.225,0.13337,0.096936,0.14113,0.12469,0.11679,0.098632,0.2553,0,0,0,0.139,0.1065,0,0.094834,0.11512,0.067276,0.14275,0,0,0.09874,0,0.10581,0.04536,0,0,0.033108,0,0.16116,0.14541,0,0.026847,0.022732,0,0.088108,0.13267,0,0,0,0.060851,0,0,0,0.025789,0.022769,0.12139,0,0
"D137750",0.10233,0.08842,0.13579,0.098242,0.055232,0.15438,0.079446,0,0.018837,0.086838,0.012252,0.20089,0.064006,0.058372,0.048974,0.20646,0.043114,0.083038,0,0,0.090948,0.062355,0.050269,1,0.62654,0.068939,0.026063,0.024855,0.026907,0.29024,0.12522,0,0.11285,0.2391,0.11488,0.28891,0.097879,0.11256,0.13234,0.11008,0.067849,0.23187,0.12296,0.27201,0,0.059789,0,0.11147,0.13254,0.052946,0,0.071126,0.11435,0,0,0.14067,0.11732,0.14458,0.12208,0.3356,0.15049,0,0,0.029466,0,0,0.063382,0,0.079621,0,0.47652,0,0,0.19793,0.052854,0.040572,0,0.050095,0.071486,0.035506,0,0.041963,0.093995,0.068494,0.05843,0.07685,0.15679,0.13189,0.034824,0.13657,0.1407,0.15356,0.10461,0.041885,0.084775,0.053181,0.17223,0.10627,0.042832
"D137760",0.08372,0.14546,0.12682,0.19874,0.092952,0.17735,0.11485,0.018546,0.049759,0.18516,0.1159,0.14723,0.069996,0.17828,0.094201,0.28,0.035271,0.13737,0.04626,0.10992,0.074403,0.051011,0.12771,0.62654,1,0.056399,0.042582,0.11758,0.13644,0.30843,0.19618,0.02867,0.13872,0.22302,0.093979,0.237,0.10009,0.092087,0.19735,0.15579,0.12683,0.27887,0.22904,0.22322,0.082637,0.048912,0,0.18407,0.16831,0.043315,0.07545,0.16854,0.21018,0,0.12342,0.18765,0.2285,0.19194,0.21998,0.19517,0.12314,0,0.065888,0.15922,0,0.16475,0.10497,0.028559,0.08142,0,0.38172,0.094996,0,0.17294,0.2438,0.033191,0,0.040983,0.097624,0.14627,0.024315,0.034329,0.076896,0.093589,0.0478,0.1265,0.19059,0.10792,0.028491,0.11175,0.17366,0.12565,0.085583,0.034265,0.092588,0.11351,0.18647,0.087646,0.03504
"D140600",0.048745,0,0,0.039803,0,0.055224,0.11082,0,0.068863,0.067828,0.044755,0,0,0.11688,0.14908,0.058077,0.30009,0,0,0,0,0.11227,0.029535,0.068939,0.056399,1,0.096552,0.067409,0.10159,0.1003,0.068903,0.11288,0,0.068269,0,0,0.64093,0.10123,0.096204,0.027206,0.093419,0.08669,0.085799,0,0.089507,0,0,0.081518,0.050096,0,0,0.049124,0.23551,0,0.10152,0.1262,0.10294,0.10123,0.20571,0,0,0.2318,0,0.053789,0,0,0.08755,0,0,0,0,0,0,0.21683,0.14781,0,0,0,0,0,0,0,0,0,0.16676,0,0,0,0,0,0,0,0,0,0.024879,0.77658,0,0,0
"D143465",0.17071,0.11667,0.055308,0.24191,0.073492,0,0.16353,0,0.12584,0.076387,0.14153,0,0.21099,0.10292,0.13026,0.07328,0.061134,0.18097,0,0,0,0,0,0.026063,0.042582,0.096552,1,0.1012,0.10166,0.018801,0.099248,0.20571,0.14326,0.12771,0.15621,0,0.098864,0,0.20579,0.16688,0.045905,0.033441,0.38404,0,0.13128,0,0,0.11928,0.19346,0.14025,0,0.079358,0.051167,0,0.049803,0.023659,0.039274,0,0.11398,0,0.069564,0,0,0.097552,0,0,0.12873,0,0.13142,0,0,0,0,0.10421,0.24929,0,0,0.075136,0.26222,0,0,0,0,0.060755,0.079807,0,0.057528,0.062109,0.18854,0.06356,0.064942,0.060958,0.0978,0,0.17485,0.10764,0.1448,0,0
"D144700",0.032765,0.084636,0.06654,0.25409,0.070165,0.12934,0.11718,0.15535,0.4327,0.30627,0.46625,0.14171,0.02715,0.14832,0.12553,0.16268,0.081468,0.042208,0.14595,0.13312,0.02887,0.039608,0.27085,0.024855,0.11758,0.067409,0.1012,1,0.25584,0.10921,0.28574,0.21111,0.083991,0.073897,0.073018,0.018037,0.15582,0.017856,0.050979,0.099894,0.26772,0.15871,0.15672,0.01876,0.24112,0.018997,0.094298,0.15883,0.15049,0.081196,0.36645,0.2606,0.19443,0,0.35133,0.18434,0.20853,0.084141,0.25081,0.020225,0.047694,0.046965,0.085906,0.26842,0.026681,0.12127,0.16668,0.13913,0.11963,0.02675,0,0.096827,0.026565,0.15461,0.1689,0.053434,0.026565,0.015787,0.060504,0.11315,0.33542,0.026669,0.079785,0.10363,0.074722,0.11435,0.14814,0.041689,0,0.042998,0.089786,0.041577,0.022123,0.053352,0.055003,0.067819,0.21891,0,0.054727
"D145500",0.035471,0.17237,0.066327,0.35069,0.09495,0.18492,0.19154,0.046644,0.16038,0.26976,0.21751,0.067057,0.044083,0.29761,0.34796,0.22014,0.13253,0.057105,0.074003,0.096133,0.09392,0.064383,0.11269,0.026907,0.13644,0.10159,0.10166,0.25584,1,0.29464,0.15789,0.066956,0.18171,0.097954,0.079025,0.019526,0.17105,0,0.11936,0.14236,0.19133,0.17987,0.25933,0.061035,0.1428,0.041154,0,0.12775,0.1742,0.12711,0.1274,0.33013,0.30268,0.038853,0.14358,0.11226,0.24629,0.073876,0.28728,0.06569,0.10332,0.12753,0.13982,0.2696,0.1458,0.21583,0.38477,0.070718,0.20966,0.14542,0.031086,0.21477,0.14643,0.17666,0.22465,0.083687,0.14643,0.051439,0.082651,0.20927,0.069961,0.028871,0.043118,0.1436,0.12305,0.11079,0.14433,0.090395,0.032179,0.093165,0.1499,0.12143,0.071905,0.086452,0.098918,0.097454,0.13198,0,0.088416
"D153800",0.073826,0.20998,0.084152,0.261,0.062016,0.18245,0.16282,0.054618,0.070312,0.20936,0.16182,0.17658,0.061692,0.21282,0.23394,0.22931,0.062498,0.05993,0.1804,0.081452,0.065605,0.04498,0.10047,0.29024,0.30843,0.1003,0.018801,0.10921,0.29464,1,0.21182,0.022489,0.20525,0.2441,0.082865,0.17026,0.10729,0.040715,0.19092,0.11333,0.11034,0.2776,0.19264,0.15635,0.088669,0.043128,0,0.14665,0.2118,0.087636,0.095153,0.22623,0.27129,0,0.093982,0.13957,0.27659,0.17146,0.2981,0.25116,0.14477,0.053256,0.14209,0.16423,0.060614,0.20438,0.23715,0.048738,0.11851,0.060783,0.18482,0.13664,0.06033,0.20011,0.15416,0.029266,0.06033,0.036136,0.06888,0.16276,0,0.030269,0.0226,0.15686,0.042148,0.096004,0.19739,0.1268,0.025121,0.13116,0.18665,0.17662,0.075461,0.030213,0.12879,0.077025,0.2023,0.21446,0.030896
