"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99"
"11",NA,NA,NA,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1
"12",NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1
"13",1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"14",NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"15",1,NA,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1
"16",NA,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1
"19",NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,1,1,1,NA,NA,1,1,NA,NA,1
"20",NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1
"21",NA,NA,NA,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1
"22",NA,NA,NA,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1
"23",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,1,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"24",1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1
"25",1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1
"26",NA,NA,1,1,1,NA,1,1,NA,1,1,NA,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1
"27",1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,NA,1,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,NA,1,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1
"28",NA,NA,NA,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1
"29",1,NA,1,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,1,NA,1,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,1,1,1,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,NA,NA,NA,1
"30",NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1
"31",NA,NA,NA,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1
"32",NA,NA,NA,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1
"33",1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"34",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,1
"35",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,1
"36",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,1,1,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,1
"37",NA,NA,1,1,1,NA,1,1,NA,1,1,NA,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1
"38",NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1
"39",1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"40",1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"41",NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,NA,1,NA,1,1,1,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1
"42",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"46",NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1
"47",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"48",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1
"49",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,NA,1
"50",NA,NA,1,1,1,NA,1,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1
"51",1,NA,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"52",NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"53",NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"54",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,1
